symbol,open,close,high,highest_high,change_pct,float,candles,is_valid,is_pending,strength,reason
ABAT,3.77,3.87,3.93,3.93,2.6525198938992065,125574374.0,7,False,False,0,فقد الزخم (ركود طويل)
AMPX,9.25,9.49,9.58,9.58,2.594594594594597,121447832.0,7,False,False,0,فقد الزخم (ركود طويل)
BENF,5.19,6.03,6.13,6.13,16.18497109826589,1042131.0,7,True,True,85,نموذج قوي ومتماسك 🚀
BLNK,0.8132,0.79,0.8135,0.0,-2.8529267092966055,113405556.0,7,False,False,0,السعر لم يصعد
CNCK,2.35,2.48,2.5,2.35,5.531914893617016,12016099.0,7,False,False,0,كسر قاع سابق (شمعة 2)
CYPH,1.03,1.1,1.12,1.12,6.796116504854374,35642763.0,7,True,True,42,نموذج قوي ومتماسك 🚀
DRMA,2.22,2.18,2.27,0.0,-1.8018018018018032,498526.0,5,False,False,0,السعر لم يصعد
FFAI,1.11,1.11,1.13,0.0,0.0,162555637.0,7,False,False,0,السعر لم يصعد
GANX,2.36,3.09,3.09,2.69,30.93220338983051,34841342.0,7,False,False,0,ذيل تصريف واضح
GOSS,3.46,3.41,3.53,0.0,-1.445086705202307,188139210.0,7,False,False,0,السعر لم يصعد
IRE,5.81,6.18,6.22,6.22,6.368330464716008,13675457.954545455,7,True,False,42,نموذج قوي ومتماسك 🚀
LAZR,0.2171,0.2745,0.35,0.35,26.439428834638434,71936334.0,7,False,False,0,كسر قاع سابق (شمعة 7)
MARA,9.9,9.93,10.11,10.11,0.30303030303029654,372473769.0,7,False,False,0,كسر قاع سابق (شمعة 5)
NBIS,80.49,85.09,85.51,85.51,5.714995651633754,210729910.0,7,True,False,95,نموذج قوي ومتماسك 🚀
NBY,3.13,3.41,3.5,3.5,8.945686900958474,12393157.0,7,False,False,0,كسر قاع سابق (شمعة 5)
RAIL,9.32,9.49,9.52,9.52,1.8240343347639476,0.0,7,True,False,95,نموذج قوي ومتماسك 🚀
RIOT,13.73,13.85,14.04,14.04,0.8739985433357553,346542888.0,7,False,False,0,كسر قاع سابق (شمعة 5)
SIDU,0.8831,0.99,0.999,0.999,12.105084361906918,35040228.0,7,True,False,42,نموذج قوي ومتماسك 🚀
SOFI,26.62,26.66,26.88,26.88,0.15026296018031235,1184860036.0,7,False,False,0,فقد الزخم (ركود طويل)
