symbol,datetime,date,time,open,high,low,close,volume
FRMI,2025-12-22 09:30:00,2025-12-22,09:30:00,8.489999,8.798899,8.479999,8.75,280487
FRMI,2025-12-22 09:35:00,2025-12-22,09:35:00,8.954999,9.1,8.939999,8.96,304030
FRMI,2025-12-22 09:40:00,2025-12-22,09:40:00,9.029999,9.13,8.970299,9.100099,189731
FRMI,2025-12-22 09:45:00,2025-12-22,09:45:00,9.119999,9.319999,9.112,9.215,348845
FRMI,2025-12-22 09:50:00,2025-12-22,09:50:00,9.189999,9.21,9.06,9.109999,108790
FRMI,2025-12-22 09:55:00,2025-12-22,09:55:00,9.107999,9.149999,9.101799,9.119999,51349
FRMI,2025-12-22 10:00:00,2025-12-22,10:00:00,9.110199,9.189999,8.979999,9.0,84753
MGRX,2025-12-22 09:30:00,2025-12-22,09:30:00,0.7131,0.728999,0.699999,0.728999,55033
MGRX,2025-12-22 09:35:00,2025-12-22,09:35:00,0.724699,0.740899,0.720099,0.732599,7913
MGRX,2025-12-22 09:40:00,2025-12-22,09:40:00,0.742999,0.81,0.742999,0.790099,49501
MGRX,2025-12-22 09:45:00,2025-12-22,09:45:00,0.7935,0.794799,0.7705,0.7752,30753
MGRX,2025-12-22 09:50:00,2025-12-22,09:50:00,0.7799,0.79,0.770099,0.7899,16084
MGRX,2025-12-22 09:55:00,2025-12-22,09:55:00,0.7828,0.790199,0.782,0.790099,11411
MGRX,2025-12-22 10:00:00,2025-12-22,10:00:00,0.790099,0.790199,0.781799,0.783399,263603
OGN,2025-12-22 09:30:00,2025-12-22,09:30:00,6.8,6.849999,6.789999,6.84,83907
OGN,2025-12-22 09:35:00,2025-12-22,09:35:00,6.839,6.889999,6.839,6.88,52336
OGN,2025-12-22 09:40:00,2025-12-22,09:40:00,6.869999,6.885,6.864999,6.875,35820
OGN,2025-12-22 09:45:00,2025-12-22,09:45:00,6.875,6.885,6.84,6.844999,35147
OGN,2025-12-22 09:50:00,2025-12-22,09:50:00,6.844999,6.875,6.844999,6.849999,32110
OGN,2025-12-22 09:55:00,2025-12-22,09:55:00,6.849999,6.855,6.835,6.835,34007
OGN,2025-12-22 10:00:00,2025-12-22,10:00:00,6.8301,6.849999,6.829999,6.844999,57390
NWL,2025-12-22 09:30:00,2025-12-22,09:30:00,3.71,3.759999,3.71,3.755,114818
NWL,2025-12-22 09:35:00,2025-12-22,09:35:00,3.743999,3.743999,3.73,3.734999,26785
NWL,2025-12-22 09:40:00,2025-12-22,09:40:00,3.736399,3.75,3.73,3.75,134641
NWL,2025-12-22 09:45:00,2025-12-22,09:45:00,3.744999,3.769999,3.740099,3.765,23372
NWL,2025-12-22 09:50:00,2025-12-22,09:50:00,3.765,3.7797,3.760099,3.765,62881
NWL,2025-12-22 09:55:00,2025-12-22,09:55:00,3.765,3.769999,3.759999,3.765,23810
NWL,2025-12-22 10:00:00,2025-12-22,10:00:00,3.765,3.769999,3.755,3.759999,51625
ORC,2025-12-22 09:30:00,2025-12-22,09:30:00,7.349999,7.38,7.309999,7.375,435099
ORC,2025-12-22 09:35:00,2025-12-22,09:35:00,7.3709,7.385,7.364999,7.368199,74018
ORC,2025-12-22 09:40:00,2025-12-22,09:40:00,7.369999,7.394999,7.36,7.394999,174232
ORC,2025-12-22 09:45:00,2025-12-22,09:45:00,7.4,7.4,7.389999,7.394999,54239
ORC,2025-12-22 09:50:00,2025-12-22,09:50:00,7.394999,7.4,7.385,7.385,45924
ORC,2025-12-22 09:55:00,2025-12-22,09:55:00,7.3845,7.399899,7.38,7.394999,50936
ORC,2025-12-22 10:00:00,2025-12-22,10:00:00,7.389999,7.4,7.38,7.391099,73333
SLNH,2025-12-22 09:30:00,2025-12-22,09:30:00,1.529999,1.58,1.5101,1.529999,251355
SLNH,2025-12-22 09:35:00,2025-12-22,09:35:00,1.575,1.5799,1.5549,1.5549,98780
SLNH,2025-12-22 09:40:00,2025-12-22,09:40:00,1.554999,1.5699,1.554999,1.559999,251404
SLNH,2025-12-22 09:45:00,2025-12-22,09:45:00,1.565,1.58,1.5506,1.58,61680
SLNH,2025-12-22 09:50:00,2025-12-22,09:50:00,1.585,1.59,1.575,1.59,50616
SLNH,2025-12-22 09:55:00,2025-12-22,09:55:00,1.595499,1.62,1.59,1.595,316487
SLNH,2025-12-22 10:00:00,2025-12-22,10:00:00,1.595,1.6,1.58,1.595,74704
GERN,2025-12-22 09:30:00,2025-12-22,09:30:00,1.299999,1.35,1.299999,1.35,192843
GERN,2025-12-22 09:35:00,2025-12-22,09:35:00,1.37,1.37,1.35,1.35,63847
GERN,2025-12-22 09:40:00,2025-12-22,09:40:00,1.356799,1.356799,1.35,1.355,15030
GERN,2025-12-22 09:45:00,2025-12-22,09:45:00,1.35,1.36,1.345,1.345,21862
GERN,2025-12-22 09:50:00,2025-12-22,09:50:00,1.345,1.36,1.34,1.345,48658
GERN,2025-12-22 09:55:00,2025-12-22,09:55:00,1.35,1.358999,1.35,1.355,27190
GERN,2025-12-22 10:00:00,2025-12-22,10:00:00,1.355,1.36,1.35,1.355,8561
