symbol,open,close,high,change_pct,float,candles,is_valid,strength,reason
ABAT,1.0,1.0,1.01,0.0,125574374.0,7,False,0,شمعة حمراء كبيرة
AIRI,6.0,5.81,6.0,-3.166666666666673,2760679.0,6,False,0,شمعة حمراء كبيرة
AIV,9.39,9.27,9.39,-1.2779552715655058,132398496.0,7,False,0,شمعة حمراء كبيرة
AMPX,0.82,0.843,0.8525,2.8048780487804903,121447832.0,6,False,0,كسر قاع سابق (شمعة 3)
APLT,8.1,8.31,8.36,2.592592592592603,118473739.0,7,False,0,شمعة حمراء كبيرة
ASPI,2.75,2.77,2.82,0.7272727272727278,75440734.0,7,False,0,ذيل علوي مزعج (شمعة 1)
ATPC,2.04,2.04,2.14,0.0,50000000.0,7,False,0,ذيل علوي مزعج (شمعة 1)
BDN,5.49,5.36,5.49,-2.367941712204005,167581359.0,7,False,0,شمعة حمراء كبيرة
BEAT,2.05,2.1,2.12,2.4390243902439157,0.0,4,False,0,بيانات ناقصة
BENF,9.76,9.76,9.92,0.0,1042131.0,7,False,0,كسر قاع سابق (شمعة 6)
BFLY,1.97,1.95,2.02,-1.0152284263959401,184116627.0,7,False,0,شمعة حمراء كبيرة
BLNK,1.88,1.86,1.9,-1.0638297872340319,113405556.0,7,False,0,ذيل علوي مزعج (شمعة 1)
CANF,2.16,2.11,2.16,-2.314814814814827,3640135957.0,6,False,0,شمعة حمراء كبيرة
CRGY,11.45,11.46,11.53,0.08733624454149838,221710273.0,7,False,0,ذيل علوي مزعج (شمعة 1)
CTXR,13.5,13.25,13.7575,-1.8518518518518516,10533575.0,7,False,0,ذيل علوي مزعج (شمعة 1)
CYPH,2.95,2.91,2.96,-1.3559322033898318,35642763.0,4,False,0,بيانات ناقصة
DRCT,2.42,2.46,2.46,1.6528925619834725,30507762.0,4,False,0,بيانات ناقصة
DRMA,22.8,20.6,23.0,-9.649122807017541,498526.0,7,False,0,شمعة حمراء كبيرة
ENVX,8.82,8.67,8.82,-1.7006802721088474,186643551.0,7,False,0,شمعة حمراء كبيرة
FFAI,4.11,3.97,4.13,-3.4063260340632633,162555637.0,7,False,0,شمعة حمراء كبيرة
GANX,1.5,1.52,1.54,1.3333333333333344,34841342.0,7,False,0,كسر قاع سابق (شمعة 2)
GOSS,0.94,0.9209,0.9443,-2.03191489361701,188139210.0,7,False,0,شمعة حمراء كبيرة
GOVX,2.75,2.71,2.75,-1.4545454545454557,29610006.0,7,False,0,شمعة حمراء كبيرة
LAZR,12.3,12.525,12.546,1.829268292682924,71936334.0,7,False,0,شمعة حمراء كبيرة
MARA,16.38,15.97,16.51,-2.5030525030524933,372473769.0,7,False,0,شمعة حمراء كبيرة
NBY,0.51,0.5149,0.52,0.9607843137254932,12393157.0,4,False,0,بيانات ناقصة
RAIL,9.9,10.49,10.51,5.959595959595958,0.0,7,False,0,كسر قاع سابق (شمعة 3)
RIOT,7.57,7.35,7.62,-2.9062087186261643,346542888.0,7,False,0,شمعة حمراء كبيرة
SIDU,2.67,2.71,2.74,1.4981273408239715,35040228.0,7,False,0,شمعة حمراء كبيرة
SOFI,8.44,8.26,8.45,-2.1327014218009444,1184860036.0,7,False,0,شمعة حمراء كبيرة
