symbol,datetime,date,time,open,high,low,close,volume
CRCA,2025-12-22 09:30:00,2025-12-22,09:30:00,4.98,5.315,4.94,5.23,1848754
CRCA,2025-12-22 09:35:00,2025-12-22,09:35:00,5.239999,5.364999,5.1901,5.215,589340
CRCA,2025-12-22 09:40:00,2025-12-22,09:40:00,5.219999,5.219999,5.09,5.11,557683
CRCA,2025-12-22 09:45:00,2025-12-22,09:45:00,5.11,5.28,5.11,5.215,491081
CRCA,2025-12-22 09:50:00,2025-12-22,09:50:00,5.21,5.219999,5.105,5.1599,258702
CRCA,2025-12-22 09:55:00,2025-12-22,09:55:00,5.155,5.199999,5.074999,5.079999,259206
CRCA,2025-12-22 10:00:00,2025-12-22,10:00:00,5.079999,5.1399,5.07,5.129,172119
NVTS,2025-12-22 09:30:00,2025-12-22,09:30:00,8.06,8.119999,7.909999,7.969999,1073190
NVTS,2025-12-22 09:35:00,2025-12-22,09:35:00,7.979899,8.05,7.96,7.9794,332500
NVTS,2025-12-22 09:40:00,2025-12-22,09:40:00,7.974999,8.045,7.929999,8.027999,331836
NVTS,2025-12-22 09:45:00,2025-12-22,09:45:00,8.029999,8.05,7.968999,8.000699,139980
NVTS,2025-12-22 09:50:00,2025-12-22,09:50:00,8.0,8.06,7.989999,8.045599,159662
NVTS,2025-12-22 09:55:00,2025-12-22,09:55:00,8.039999,8.129899,8.029999,8.091699,185697
NVTS,2025-12-22 10:00:00,2025-12-22,10:00:00,8.085,8.13,8.06,8.0655,173496
ALIT,2025-12-22 09:30:00,2025-12-22,09:30:00,1.96,1.978999,1.96,1.975,144845
ALIT,2025-12-22 09:35:00,2025-12-22,09:35:00,1.9742,1.975,1.950799,1.955,57054
ALIT,2025-12-22 09:40:00,2025-12-22,09:40:00,1.955,1.9599,1.945,1.945,58972
ALIT,2025-12-22 09:45:00,2025-12-22,09:45:00,1.945,1.945,1.929999,1.929999,37249
ALIT,2025-12-22 09:50:00,2025-12-22,09:50:00,1.9311,1.938699,1.929999,1.929999,45698
ALIT,2025-12-22 09:55:00,2025-12-22,09:55:00,1.929999,1.94,1.929999,1.934999,46993
ALIT,2025-12-22 10:00:00,2025-12-22,10:00:00,1.929999,1.95,1.929999,1.95,90506
RZLT,2025-12-22 09:30:00,2025-12-22,09:30:00,1.825,1.894999,1.809999,1.879999,498294
RZLT,2025-12-22 09:35:00,2025-12-22,09:35:00,1.878,1.94,1.871199,1.929999,180621
RZLT,2025-12-22 09:40:00,2025-12-22,09:40:00,1.929999,1.99,1.919999,1.97,168408
RZLT,2025-12-22 09:45:00,2025-12-22,09:45:00,1.9699,2.079999,1.9699,2.035,270245
RZLT,2025-12-22 09:50:00,2025-12-22,09:50:00,2.0394,2.0699,1.99,2.039999,792454
RZLT,2025-12-22 09:55:00,2025-12-22,09:55:00,2.039999,2.059999,1.97,1.995,303913
RZLT,2025-12-22 10:00:00,2025-12-22,10:00:00,1.992499,2.025,1.99,2.015,719264
LAC,2025-12-22 09:30:00,2025-12-22,09:30:00,4.86,5.07,4.82,5.0699,1333743
LAC,2025-12-22 09:35:00,2025-12-22,09:35:00,5.0615,5.099999,4.98,5.025,530964
LAC,2025-12-22 09:40:00,2025-12-22,09:40:00,5.03,5.05,4.994999,5.019999,281915
LAC,2025-12-22 09:45:00,2025-12-22,09:45:00,5.0244,5.049399,4.934999,4.940599,243245
LAC,2025-12-22 09:50:00,2025-12-22,09:50:00,4.945,4.96,4.914999,4.929999,192326
LAC,2025-12-22 09:55:00,2025-12-22,09:55:00,4.9299,4.969999,4.921,4.934999,234153
LAC,2025-12-22 10:00:00,2025-12-22,10:00:00,4.94,4.994999,4.934999,4.949999,419650
UAMY,2025-12-22 09:30:00,2025-12-22,09:30:00,5.139999,5.289999,5.019999,5.275,983541
UAMY,2025-12-22 09:35:00,2025-12-22,09:35:00,5.272999,5.289999,5.19,5.25,176476
UAMY,2025-12-22 09:40:00,2025-12-22,09:40:00,5.239999,5.389999,5.213399,5.36,258448
UAMY,2025-12-22 09:45:00,2025-12-22,09:45:00,5.3699,5.559999,5.36,5.493599,514761
UAMY,2025-12-22 09:50:00,2025-12-22,09:50:00,5.5,5.679999,5.494999,5.643199,460754
UAMY,2025-12-22 09:55:00,2025-12-22,09:55:00,5.65,5.67,5.579999,5.635,454817
UAMY,2025-12-22 10:00:00,2025-12-22,10:00:00,5.639999,5.719999,5.55,5.559999,402459
IXHL,2025-12-22 09:30:00,2025-12-22,09:30:00,0.446099,0.455399,0.4449,0.4541,857666
IXHL,2025-12-22 09:35:00,2025-12-22,09:35:00,0.46,0.463899,0.458499,0.463899,690522
IXHL,2025-12-22 09:40:00,2025-12-22,09:40:00,0.458799,0.4595,0.456099,0.4586,242284
IXHL,2025-12-22 09:45:00,2025-12-22,09:45:00,0.457899,0.4586,0.4508,0.4578,134421
IXHL,2025-12-22 09:50:00,2025-12-22,09:50:00,0.455599,0.458499,0.453799,0.454499,67343
IXHL,2025-12-22 09:55:00,2025-12-22,09:55:00,0.4555,0.4566,0.453399,0.454299,70769
IXHL,2025-12-22 10:00:00,2025-12-22,10:00:00,0.4544,0.4546,0.453,0.453799,65259
HIVE,2025-12-22 09:30:00,2025-12-22,09:30:00,2.96,2.99,2.884999,2.944999,651835
HIVE,2025-12-22 09:35:00,2025-12-22,09:35:00,2.954999,2.96,2.924999,2.929899,149903
HIVE,2025-12-22 09:40:00,2025-12-22,09:40:00,2.914999,2.927799,2.900099,2.904999,152254
HIVE,2025-12-22 09:45:00,2025-12-22,09:45:00,2.91,2.95,2.91,2.95,112168
HIVE,2025-12-22 09:50:00,2025-12-22,09:50:00,2.94,2.99,2.934999,2.984999,203080
HIVE,2025-12-22 09:55:00,2025-12-22,09:55:00,2.9855,3.0,2.974999,2.974999,113945
HIVE,2025-12-22 10:00:00,2025-12-22,10:00:00,2.98,2.99,2.97,2.974999,71113
GGB,2025-12-22 09:30:00,2025-12-22,09:30:00,3.66,3.679399,3.65,3.674999,65683
GGB,2025-12-22 09:35:00,2025-12-22,09:35:00,3.68,3.68,3.67,3.67,8865
GGB,2025-12-22 09:40:00,2025-12-22,09:40:00,3.674999,3.68,3.671,3.68,38441
GGB,2025-12-22 09:45:00,2025-12-22,09:45:00,3.684999,3.6891,3.68,3.680599,35218
GGB,2025-12-22 09:50:00,2025-12-22,09:50:00,3.69,3.69,3.68,3.69,51635
GGB,2025-12-22 09:55:00,2025-12-22,09:55:00,3.69,3.69,3.684999,3.69,17132
GGB,2025-12-22 10:00:00,2025-12-22,10:00:00,3.684999,3.696,3.684999,3.694999,156768
IQ,2025-12-22 09:30:00,2025-12-22,09:30:00,1.861999,1.869799,1.86,1.865,92476
IQ,2025-12-22 09:35:00,2025-12-22,09:35:00,1.862699,1.865,1.86,1.865,33819
IQ,2025-12-22 09:40:00,2025-12-22,09:40:00,1.865,1.87,1.86,1.87,22641
IQ,2025-12-22 09:45:00,2025-12-22,09:45:00,1.865,1.87,1.86,1.87,142098
IQ,2025-12-22 09:50:00,2025-12-22,09:50:00,1.865,1.879999,1.861199,1.873499,147415
