symbol,date,freeFloat,floatShares,outstandingShares,price,changePercent,volume
0F6L.L,2025-12-22 13:52:15,26.349777467813798,52401535,198868985,4.938000202178955,2.448133326038978,414
0DWL.L,2025-12-21 08:34:05,23.280540076487164,23303623,100099155,7.835000038146973,2.418299875467589,1882
0EG8.L,2025-12-22 16:19:15,44.0881109145353,90298299,204813264,3.1619999408721924,1.672027251781144,59943
0E1L.L,2025-12-21 13:33:10,80.64157866967862,142644587,176887147,1.909999966621399,0.7383933945479734,3943
0DSJ.L,2025-12-22 08:07:00,95.70143681819494,164115898,171487392,9.100000381469727,0.5524882837687902,8303
0FLE.L,2025-12-21 17:23:45,0.0,0,980070048,4.281599998474121,0.04440021878110314,2
0F8V.L,2025-12-22 05:44:30,30.050832419423628,7891589,26260800,7.960000038146973,0.0,397
0A1K.L,2025-12-22 21:09:50,81.97792274681913,1808012916,2205487594,4.998000144958496,-0.039997100830078125,355053
0EIE.L,2025-12-21 17:12:20,58.59155593964811,101568462,173350000,1.7120000123977661,-0.11668461297389345,1259
020Y.L,2025-12-21 14:31:55,0.0,0,84818244,3.1547999382019043,-0.28132140424069596,3689
0A8E.L,2025-12-21 17:53:25,95.59486726415142,158628598,165938405,7.280900001525879,-0.398084014794085,11946
0AH7.L,2025-12-22 04:03:50,34.708394193486846,12119892,34919198,2.375,-0.4192868135531716,30247
0EIB.L,2025-12-22 16:02:05,9.94348395025204,43693160,439415000,1.277999997138977,-0.46729297343888987,255
0EOF.L,2025-12-22 01:48:30,68.58344,124609253,139925773,7.699999809265137,-0.5167953880604408,42436
0DI7.L,2025-12-22 22:51:00,100.00018000032728,18333333,18333300,8.9399995803833,-0.6666713290744358,40
0FS8.L,2025-12-21 15:26:05,65.87300674539681,274470861,416666666,1.0470000505447388,-0.7112312335804604,19337
0CIJ.L,2025-12-22 16:46:20,100.42239566781497,157998572,157334000,2.5899999141693115,-0.956026588002212,7810
0CHZ.L,2025-12-22 21:29:20,74.52659840894289,92729495,124424698,0.699999988079071,-1.408449403588351,23801
0DO7.L,2025-12-22 17:56:40,99.76875180536739,73637013,73807692,0.03220000118017197,-2.4242383192393184,243
0F7F.L,2025-12-22 20:06:35,45.275875545564496,97555488,215469026,0.1834000051021576,-2.4468024564089497,5692
0E7Z.L,2025-12-21 21:48:06,86.18869850230952,29556518,34292800,0.9645000100135803,-3.016588431448454,0
0A6Y.L,2025-12-22 16:38:55,94.2654975547129,118398598,125601202,2.559999942779541,-3.632605105881988,22065
0FQ8.L,2025-12-22 09:27:20,100.80937019648927,821756654,815159000,0.06599999964237213,-4.347824209053363,78464
0A20.L,2025-12-21 07:31:36,1054.6191154155406,69778240,6616440,0.9437999725341797,-8.145991058433433,1521
