symbol,open,high,low,close
TNMG,0.370999,0.395999,0.363999,0.3901
TNMG,0.3864,0.409999,0.381199,0.409999
TNMG,0.409999,0.419999,0.3921,0.392599
TNMG,0.3962,0.405,0.392599,0.403299
TNMG,0.400799,0.419999,0.400799,0.417299
TNMG,0.418799,0.465799,0.409999,0.458999
ABAT,7.9,8.699999,7.739999,8.489999
ABAT,8.479999,9.199999,8.439999,9.104
ABAT,9.109999,9.2599,8.5,8.555
ABAT,8.56,9.149999,8.55,9.109999
ABAT,9.114999,9.659899,8.979999,9.529999
ABAT,9.538,9.819999,9.3,9.75
RVPH,0.4431,0.454699,0.436599,0.4501
RVPH,0.4546,0.478899,0.4501,0.4724
RVPH,0.4681,0.486,0.4648,0.4859
RVPH,0.488999,0.54,0.4859,0.5273
RVPH,0.519999,0.533299,0.5,0.5052
RVPH,0.507499,0.519999,0.504999,0.519999
LAZR,2.069999,2.109999,2.059999,2.089999
LAZR,2.0899,2.144,2.0815,2.144
LAZR,2.144999,2.244999,2.144999,2.230099
LAZR,2.234999,2.309999,2.214999,2.3083
LAZR,2.309999,2.369999,2.299999,2.355
LAZR,2.3554,2.3882,2.25,2.265
LAC,8.59,8.989999,8.52,8.975
LAC,8.977999,8.989999,8.72,8.755
LAC,8.755,8.899999,8.699999,8.8997
LAC,8.895,9.154999,8.810099,9.135
LAC,9.13,9.27,9.030799,9.1716
LAC,9.17,9.399999,9.164999,9.34
TNYA,1.58,1.61,1.559999,1.59
TNYA,1.6073,1.629999,1.6073,1.62
TNYA,1.629999,1.6598,1.624699,1.6588
TNYA,1.649999,1.6598,1.639999,1.644999
TNYA,1.644999,1.7,1.640799,1.679999
TNYA,1.674999,1.71,1.669999,1.705
PFSA,0.319999,0.324999,0.315499,0.3224
PFSA,0.3217,0.324,0.3217,0.324
PFSA,0.324499,0.3278,0.324,0.326
PFSA,0.326,0.329699,0.324999,0.329699
PFSA,0.329699,0.3328,0.328599,0.3312
PFSA,0.333299,0.3445,0.3318,0.3397
GOSS,2.14,2.2,2.13,2.1807
GOSS,2.184499,2.2,2.1816,2.194999
GOSS,2.194999,2.214999,2.19,2.204999
GOSS,2.204999,2.269999,2.2,2.255
GOSS,2.255,2.259999,2.23,2.234999
GOSS,2.24,2.269999,2.24,2.265
OTLK,1.039999,1.0699,1.039999,1.059999
OTLK,1.068899,1.085,1.0555,1.085
OTLK,1.070399,1.09,1.070399,1.0899
OTLK,1.09,1.1265,1.085,1.1196
OTLK,1.12,1.12,1.11,1.115
OTLK,1.110299,1.119199,1.09,1.1
IRBT,3.9,4.03,3.89,3.969
IRBT,3.95,3.96,3.91,3.9188
IRBT,3.94,4.019999,3.93,4.019999
IRBT,4.01,4.03,3.994999,4.019999
IRBT,4.01,4.082499,4.0,4.061299
IRBT,4.061299,4.129,4.059999,4.119999
HUMA,1.6,1.6281,1.5914,1.615
HUMA,1.6101,1.62,1.6,1.6
HUMA,1.6,1.639999,1.6,1.6224
HUMA,1.6201,1.644999,1.6201,1.634999
HUMA,1.634999,1.654999,1.629999,1.644999
HUMA,1.644999,1.695,1.639999,1.69
TE,3.66,3.66,3.47,3.509999
TE,3.509999,3.71,3.49,3.704999
TE,3.704999,3.709899,3.66,3.67
TE,3.674999,3.779999,3.67,3.765
TE,3.765,3.829999,3.744999,3.805
TE,3.805,3.855499,3.799999,3.835599
SPCE,4.01,4.0699,3.99,4.0699
SPCE,4.0685,4.11,4.019999,4.05
SPCE,4.039999,4.079999,4.034999,4.074999
SPCE,4.074999,4.119999,4.039999,4.119999
SPCE,4.114999,4.159999,4.1054,4.155
SPCE,4.155,4.204999,4.139999,4.199999
QSI,1.419999,1.44,1.409999,1.4398
QSI,1.430899,1.4499,1.429999,1.440199
QSI,1.4405,1.46,1.44,1.45
QSI,1.45,1.47,1.447199,1.464599
QSI,1.47,1.48,1.46,1.4795
QSI,1.4744,1.49,1.4701,1.485
ENVX,13.34,13.699999,13.34,13.585
